,EARNINGS,S,EXP,FEMALE,MALE,BYEAR,AGE,AGEMBTH,HHINC97,POVRAT97,HHBMBF,HHBMOF,HHOMBF,HHBMONLY,HHBFONLY,HHOTHER,MSA97NO,MSA97NCC,MSA97CC,MSA97NK,ETHBLACK,ETHHISP,ETHWHITE,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCGED,EDUCDO,PRMONM,PRMONF,PRMSTYUN,PRMSTYPE,PRMSTYAN,PRMSTYAE,PRFSTYUN,PRFSTYPE,PRFSTYAN,PRFSTYAE,SINGLE,MARRIED,COHABIT,OTHSING,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,FAITHM,ASVABAR,ASVABWK,ASVABPC,ASVABMK,ASVABNO,ASVABCS,ASVABC,ASVABC4,VERBAL,ASVABMV,HEIGHT,WEIGHT04,WEIGHT11,SF,SM,SFR,SMR,SIBLINGS,REG97NE,REG97NC,REG97S,REG97W,RS97RURL,RS97URBN,RS97UNKN,JOBS,HOURS,TENURE,CATGOV,CATPRI,CATNPO,CATMIS,CATSE,COLLBARG,URBAN,REGNE,REGNC,REGW,REGS,MSA11NO,MSA11NCC,MSA11CC,MSA11NK,MSA11NIC
0,18.5,12.0,9.711538,0.0,1.0,1984.0,27.0,24.0,64000.0,402.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1240165,-0.6890168,-0.3050777,-0.2855563,-0.3558607,-0.7159587,-0.2054523,-0.3240111,-0.5305199,29818.0,70.0,155.0,186.0,12.0,12.0,12.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,50.0,4.769231,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,19.23,17.0,5.711538,0.0,1.0,1982.0,29.0,32.0,6000.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4469109,-0.0981771,-0.3037769,-0.548233,-1.205742,-0.1743928,0.1347132,-0.141461,-0.214745,46246.0,74.0,200.0,200.0,16.0,12.0,16.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.9458479378106404,50.0,9.057693,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,39.05,14.0,9.942307,0.0,1.0,1981.0,30.0,23.0,88252.0,555.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.223801367653692,6.382601208767269,0.9999999883148065,1.2942029670170996e-08,1.3189107583855275e-09,-2.3885053934691314e-09,0.9999999873191472,1.2272087346332228e-08,-1.8718631089598148e-09,2.7039339656198536e-09,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4177562,0.9479251,0.059644,0.2939251,0.0612613,-0.0672739,0.5060075,0.4804706,0.5369214,66480.0,72.0,168.0,190.0,16.0,6.0,15.981901847529556,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,65.0,4.980769,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,16.8,18.0,1.538462,0.0,1.0,1983.0,28.0,30.0,63407.58659965441,407.78577595912935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7136975,-0.0594227,-0.0328808,-0.0594718,1.677242,0.3247573,0.366419,0.1566143,-0.0496154,51240.0,73.0,153.0,175.0,14.0,14.0,14.0,14.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,40.0,1.019231,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,36.06,15.0,2.942308,0.0,1.0,1984.0,27.0,23.0,44188.0,278.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.543366,0.3308927,0.7791814,1.190146,0.2165398,0.2181599,1.152778,1.074925,0.591585,89773.0,71.0,145.0,170.0,14.0,16.0,14.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,40.0,2.346154,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,13.14,12.0,8.019231,0.0,1.0,1983.0,28.0,25.0,97400.0,612.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7222221,1.01171,0.8045009,1.113033,-0.7572729,0.6925451,0.8955367,1.021164,0.9681515,86885.0,66.0,220.0,245.0,13.0,13.0,13.0,13.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,10.0,13.0,9.788462,0.0,1.0,1983.0,28.0,23.0,70751.0,445.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.585331,-0.6763769,-1.607559,-0.9319599,-1.313517,-0.0143555,-2.048863,-1.623991,-1.218363,8396.0,69.0,154.0,150.0,12.0,16.0,12.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,30.0,8.076923,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,12.79,14.0,7.711538,0.0,1.0,1981.0,30.0,26.0,71100.0,380.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.23125716824837,5.334622338292547,0.9999999888444675,1.1686577927605413e-08,1.5972854150447802e-09,-1.9202479606406087e-09,0.9999999878100763,1.1949440548164603e-08,-2.3977968499622193e-09,3.0395508332503596e-09,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.298312,-0.1994731,-0.1905697,-0.4481668,-0.4603616,-1.068405,-0.2715672,-0.3186627,-0.208393,36454.0,70.0,175.0,185.0,11.0,11.0,12.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,43.0,0.7884616,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,20.19,14.0,6.846154,0.0,1.0,1983.0,28.0,25.0,246474.0,1627.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.863456,1.694685,2.235723,1.08865,0.8657922,0.5588324,2.103678,1.925311,2.095604,98479.0,71.0,175.0,180.0,16.0,20.0,16.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,40.0,3.884615,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,25.48,17.0,7.153846,0.0,1.0,1981.0,30.0,30.0,61300.0,373.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.258480786179462,5.377761855958624,0.9999999868731575,1.218609879671817e-08,-5.585660822760019e-10,1.9045707233544817e-09,0.9999999849814696,1.7474590663368872e-08,-3.5942302467617537e-09,1.4995569230791261e-09,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2898869,0.4971615,0.8225176,0.1963931,0.1903482,1.176971,0.5214975,0.5047343,0.7033626,72880.0,71.0,165.0,170.0,13.0,14.0,13.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,40.0,7.538462,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
